user_id,date,productivity_rating,energy_rating
U001,2026-08-03,10.0,1.0
U001,2026-08-04,8.0,1.0
U001,2026-08-05,8.0,1.0
U001,2026-08-06,9.0,3.0
U001,2026-08-07,7.0,2.0
U001,2026-08-10,6.0,1.0
U001,2026-08-11,9.0,1.0
U001,2026-08-12,7.0,2.0
U001,2026-08-14,8.0,2.0
U001,2026-08-17,9.0,2.0
U001,2026-08-18,10.0,3.0
U001,2026-08-19,6.0,2.0
U001,2026-08-20,8.0,2.0
U001,2026-08-21,9.0,3.0
U001,2026-08-24,6.0,1.0
U001,2026-08-25,6.0,1.0
U001,2026-08-26,8.0,3.0
U001,2026-08-27,6.0,2.0
U001,2026-08-28,10.0,2.0
U002,2026-08-03,7.0,3.0
U002,2026-08-04,10.0,2.0
U002,2026-08-05,9.0,1.0
U002,2026-08-06,9.0,1.0
U002,2026-08-07,9.0,4.0
U002,2026-08-10,4.0,2.0
U002,2026-08-11,9.0,3.0
U002,2026-08-12,9.0,3.0
U002,2026-08-13,6.0,2.0
U002,2026-08-14,8.0,2.0
U002,2026-08-17,6.0,1.0
U002,2026-08-18,8.0,3.0
U002,2026-08-19,6.0,1.0
U002,2026-08-20,3.0,1.0
U002,2026-08-21,7.0,2.0
U002,2026-08-24,4.0,2.0
U002,2026-08-25,,
U002,2026-08-26,6.0,2.0
U002,2026-08-27,8.0,1.0
U002,2026-08-28,8.0,1.0
U003,2026-08-03,7.0,2.0
U003,2026-08-04,7.0,1.0
U003,2026-08-05,7.0,3.0
U003,2026-08-06,6.0,2.0
U003,2026-08-07,7.0,3.0
U003,2026-08-10,7.0,1.0
U003,2026-08-12,,
U003,2026-08-13,6.0,1.0
U003,2026-08-14,8.0,1.0
U003,2026-08-17,10.0,3.0
U003,2026-08-18,8.0,2.0
U003,2026-08-19,9.0,2.0
U003,2026-08-20,9.0,2.0
U003,2026-08-21,,
U003,2026-08-24,7.0,2.0
U003,2026-08-25,6.0,2.0
U003,2026-08-26,9.0,3.0
U003,2026-08-27,8.0,2.0
U003,2026-08-28,6.0,3.0
U004,2026-08-03,6.0,2.0
U004,2026-08-04,5.0,2.0
U004,2026-08-05,10.0,2.0
U004,2026-08-06,5.0,1.0
U004,2026-08-10,8.0,2.0
U004,2026-08-11,6.0,1.0
U004,2026-08-12,,
U004,2026-08-13,6.0,4.0
U004,2026-08-14,8.0,1.0
U004,2026-08-17,5.0,1.0
U004,2026-08-18,7.0,2.0
U004,2026-08-19,,
U004,2026-08-20,5.0,1.0
U004,2026-08-21,10.0,1.0
U004,2026-08-24,4.0,1.0
U004,2026-08-25,7.0,2.0
U004,2026-08-26,10.0,3.0
U004,2026-08-27,8.0,2.0
U004,2026-08-28,7.0,1.0
U005,2026-08-03,10.0,1.0
U005,2026-08-04,9.0,3.0
U005,2026-08-05,10.0,2.0
U005,2026-08-06,6.0,1.0
U005,2026-08-07,9.0,2.0
U005,2026-08-10,10.0,3.0
U005,2026-08-11,6.0,3.0
U005,2026-08-12,10.0,2.0
U005,2026-08-13,7.0,2.0
U005,2026-08-14,8.0,2.0
U005,2026-08-17,9.0,3.0
U005,2026-08-18,9.0,2.0
U005,2026-08-19,6.0,1.0
U005,2026-08-20,7.0,1.0
U005,2026-08-21,,
U005,2026-08-24,9.0,2.0
U005,2026-08-25,9.0,2.0
U005,2026-08-26,5.0,2.0
U005,2026-08-27,8.0,2.0
U005,2026-08-28,9.0,3.0
U006,2026-08-03,9.0,2.0
U006,2026-08-04,8.0,2.0
U006,2026-08-05,7.0,2.0
U006,2026-08-06,8.0,1.0
U006,2026-08-07,9.0,1.0
U006,2026-08-10,9.0,1.0
U006,2026-08-11,10.0,2.0
U006,2026-08-12,7.0,1.0
U006,2026-08-13,8.0,1.0
U006,2026-08-14,9.0,1.0
U006,2026-08-17,5.0,1.0
U006,2026-08-18,8.0,1.0
U006,2026-08-19,7.0,2.0
U006,2026-08-20,6.0,1.0
U006,2026-08-21,7.0,3.0
U006,2026-08-24,10.0,2.0
U006,2026-08-25,8.0,2.0
U006,2026-08-26,9.0,1.0
U006,2026-08-27,10.0,2.0
U006,2026-08-28,8.0,1.0
U007,2026-08-03,,
U007,2026-08-04,6.0,1.0
U007,2026-08-05,6.0,2.0
U007,2026-08-06,3.0,1.0
U007,2026-08-07,9.0,2.0
U007,2026-08-10,9.0,1.0
U007,2026-08-11,10.0,3.0
U007,2026-08-12,7.0,3.0
U007,2026-08-13,7.0,2.0
U007,2026-08-14,8.0,1.0
U007,2026-08-17,9.0,1.0
U007,2026-08-18,7.0,1.0
U007,2026-08-19,7.0,2.0
U007,2026-08-20,10.0,2.0
U007,2026-08-21,9.0,1.0
U007,2026-08-24,7.0,2.0
U007,2026-08-25,7.0,3.0
U007,2026-08-26,9.0,2.0
U007,2026-08-27,8.0,3.0
U007,2026-08-28,,
U008,2026-08-03,8.0,3.0
U008,2026-08-04,6.0,3.0
U008,2026-08-05,6.0,3.0
U008,2026-08-06,4.0,1.0
U008,2026-08-10,8.0,1.0
U008,2026-08-11,8.0,1.0
U008,2026-08-12,5.0,2.0
U008,2026-08-13,6.0,2.0
U008,2026-08-14,9.0,2.0
U008,2026-08-17,8.0,1.0
U008,2026-08-18,8.0,1.0
U008,2026-08-19,4.0,1.0
U008,2026-08-20,10.0,2.0
U008,2026-08-21,10.0,2.0
U008,2026-08-24,10.0,2.0
U008,2026-08-25,9.0,4.0
U008,2026-08-26,8.0,2.0
U008,2026-08-27,9.0,1.0
U008,2026-08-28,8.0,3.0
U009,2026-08-03,10.0,3.0
U009,2026-08-04,9.0,3.0
U009,2026-08-06,9.0,1.0
U009,2026-08-07,7.0,3.0
U009,2026-08-10,9.0,3.0
U009,2026-08-11,7.0,3.0
U009,2026-08-12,7.0,1.0
U009,2026-08-13,8.0,1.0
U009,2026-08-14,7.0,1.0
U009,2026-08-17,7.0,2.0
U009,2026-08-18,10.0,3.0
U009,2026-08-19,5.0,1.0
U009,2026-08-20,8.0,1.0
U009,2026-08-21,,
U009,2026-08-24,8.0,2.0
U009,2026-08-25,10.0,3.0
U009,2026-08-26,7.0,3.0
U009,2026-08-27,9.0,1.0
U009,2026-08-28,5.0,1.0
U010,2026-08-03,10.0,1.0
U010,2026-08-04,10.0,2.0
U010,2026-08-05,7.0,3.0
U010,2026-08-06,8.0,2.0
U010,2026-08-07,,
U010,2026-08-10,7.0,1.0
U010,2026-08-11,10.0,3.0
U010,2026-08-12,8.0,1.0
U010,2026-08-13,10.0,2.0
U010,2026-08-14,7.0,2.0
U010,2026-08-17,,
U010,2026-08-18,7.0,2.0
U010,2026-08-19,9.0,1.0
U010,2026-08-20,8.0,2.0
U010,2026-08-21,8.0,1.0
U010,2026-08-24,6.0,3.0
U010,2026-08-25,9.0,3.0
U010,2026-08-26,3.0,1.0
U010,2026-08-27,5.0,3.0
U010,2026-08-28,8.0,4.0
U011,2026-08-03,,
U011,2026-08-04,9.0,3.0
U011,2026-08-05,10.0,2.0
U011,2026-08-06,6.0,2.0
U011,2026-08-07,6.0,3.0
U011,2026-08-10,8.0,1.0
U011,2026-08-11,6.0,2.0
U011,2026-08-12,7.0,1.0
U011,2026-08-13,3.0,2.0
U011,2026-08-14,9.0,2.0
U011,2026-08-17,8.0,3.0
U011,2026-08-18,9.0,1.0
U011,2026-08-19,7.0,3.0
U011,2026-08-20,7.0,1.0
U011,2026-08-21,8.0,1.0
U011,2026-08-24,9.0,2.0
