user_id,role,years_experience,chronotype
U001,developer,7.7,intermediate
U002,developer,4.3,morning
U003,developer,5.6,intermediate
U004,developer,3.9,intermediate
U005,developer,2.0,morning
U006,developer,3.1,morning
U007,developer,10.7,morning
U008,developer,3.4,morning
U009,developer,4.1,intermediate
U010,developer,4.8,intermediate
U011,developer,3.2,morning
U012,developer,1.6,intermediate
U013,designer,2.0,morning
U014,designer,4.5,evening
U015,designer,3.0,morning
U016,designer,2.8,morning
U017,designer,3.3,morning
U018,designer,2.6,morning
U019,designer,1.7,evening
U020,writer,2.7,morning
U021,writer,2.2,morning
U022,writer,2.0,evening
U023,writer,1.4,evening
U024,writer,3.7,intermediate
U025,writer,3.1,intermediate
U026,writer,3.1,evening
U027,analyst,3.1,intermediate
U028,analyst,2.2,morning
U029,analyst,5.2,morning
U030,analyst,3.6,evening
U031,analyst,2.8,intermediate
U032,analyst,4.3,evening
U033,analyst,4.6,intermediate
U034,support,3.1,morning
U035,support,8.6,intermediate
U036,support,3.3,morning
U037,support,1.5,morning
U038,support,0.9,intermediate
U039,support,4.4,intermediate
U040,support,1.8,morning
