user_id,date,tracked_minutes,focused_minutes,distracted_minutes,meeting_minutes,break_minutes,n_breaks,longest_stretch_minutes,window_switches,focused_hours,tracked_hours,minutes_development,minutes_creative,minutes_docs_analysis,minutes_research,minutes_communication,minutes_personal,focus_score,focus_ratio,switch_load,break_balance,focus_score_true
U010,2026-08-03,560,325,120,0,110,7,115,485.0,5.42,9.33,288,0,7,155,65,45,57.0,0.7738,1.0,0.7222,57.66
U010,2026-08-04,470,380,50,0,50,5,155,387.0,6.33,7.83,172,7,32,103,139,17,58.27,0.9383,0.9556,0.2778,58.95
U010,2026-08-05,460,285,70,30,71,5,180,372.0,4.75,7.67,269,0,20,82,62,27,42.0,0.76,0.992,0.0,47.87
U010,2026-08-06,465,320,75,0,67,5,130,372.0,5.33,7.75,270,0,22,105,38,30,57.95,0.8421,0.9789,0.5556,62.3
U010,2026-08-07,545,410,65,25,47,7,165,435.0,6.83,9.08,329,13,29,76,69,29,52.91,0.8632,0.9158,0.1667,52.91
U010,2026-08-10,495,305,70,45,67,3,150,359.0,5.08,8.25,247,0,53,77,63,55,50.69,0.7439,0.8756,0.3333,51.36
U010,2026-08-11,580,390,65,40,67,6,165,414.0,6.5,9.67,354,0,16,99,77,34,50.99,0.7959,0.8449,0.1667,53.23
U010,2026-08-12,575,360,80,55,82,7,115,406.0,6.0,9.58,192,7,79,144,122,32,60.42,0.7826,0.8826,0.7222,61.02
U010,2026-08-13,550,355,70,50,82,9,80,407.0,5.92,9.17,256,19,54,112,84,25,66.49,0.8161,0.9356,1.0,67.76
U010,2026-08-14,545,425,45,40,34,5,125,411.0,7.08,9.08,348,1,18,59,84,35,63.69,0.8586,0.8303,0.6111,63.69
U010,2026-08-17,560,355,90,50,74,5,220,457.0,5.92,9.33,229,0,34,143,100,54,42.23,0.7553,0.9723,0.0,43.4
U010,2026-08-18,525,300,115,65,49,7,135,462.0,5.0,8.75,243,0,49,83,86,64,46.67,0.6667,1.0,0.5,49.11
U010,2026-08-19,615,435,75,0,83,8,150,437.0,7.25,10.25,309,22,75,114,82,13,58.2,0.8878,0.8918,0.3333,61.0
U010,2026-08-20,545,450,50,0,60,5,135,395.0,7.5,9.08,327,0,37,97,70,14,66.99,0.9677,0.8495,0.5,66.4
U010,2026-08-21,530,335,95,25,75,5,130,413.0,5.58,8.83,211,12,23,183,73,28,55.17,0.7882,0.9718,0.5556,57.76
U010,2026-08-24,485,330,65,55,24,4,155,369.0,5.5,8.08,191,0,34,115,129,16,50.84,0.75,0.8386,0.2778,51.46
U010,2026-08-25,505,365,75,0,61,5,125,404.0,6.08,8.42,316,3,18,53,85,30,60.97,0.869,0.9619,0.6111,62.94
U010,2026-08-26,505,335,70,45,45,5,105,439.0,5.58,8.42,216,0,43,128,94,23,59.02,0.7701,1.0,0.8333,60.92
U010,2026-08-27,495,320,90,20,80,7,85,367.0,5.33,8.25,269,0,22,117,50,37,67.17,0.8421,0.9658,1.0,73.68
U010,2026-08-28,590,445,70,0,69,8,115,426.0,7.42,9.83,345,27,17,109,71,21,67.95,0.9175,0.8784,0.7222,65.68
U012,2026-08-03,305,135,20,135,15,2,235,184.0,2.25,5.08,84,0,5,37,174,5,35.09,0.4821,0.6571,0.0,35.09
U012,2026-08-04,415,230,30,145,13,3,160,283.0,3.83,6.92,189,0,6,35,166,19,43.56,0.5823,0.7165,0.2222,40.08
U012,2026-08-05,385,295,55,0,46,3,145,301.0,4.92,6.42,256,0,35,53,16,25,58.75,0.8806,0.8985,0.3889,60.39
U012,2026-08-06,460,320,30,90,22,3,130,314.0,5.33,7.67,207,2,36,74,127,14,58.79,0.7442,0.7302,0.5556,57.51
U012,2026-08-07,500,295,70,80,46,6,110,381.0,4.92,8.33,223,0,43,81,124,29,56.14,0.686,0.886,0.7778,58.7
U012,2026-08-10,475,190,55,200,28,5,150,374.0,3.17,7.92,164,0,1,63,237,10,34.29,0.4524,0.8905,0.3333,34.29
U012,2026-08-11,420,220,35,125,34,4,135,303.0,3.67,7.0,183,0,12,59,149,17,47.57,0.6111,0.8417,0.5,48.33
U012,2026-08-12,420,255,60,30,62,4,95,326.0,4.25,7.0,259,3,10,65,60,23,61.43,0.7612,0.9731,0.9444,64.71
U012,2026-08-13,345,185,30,115,20,4,110,244.0,3.08,5.75,123,0,10,67,132,13,53.49,0.5873,0.7746,0.7778,51.75
U012,2026-08-14,455,265,60,105,37,6,125,398.0,4.42,7.58,249,0,14,49,113,30,49.12,0.6709,1.0,0.6111,48.42
U012,2026-08-17,450,235,50,130,38,4,185,336.0,3.92,7.5,194,1,8,79,136,32,36.31,0.5875,0.84,0.0,37.0
U012,2026-08-18,395,165,50,155,25,3,140,241.0,2.75,6.58,131,0,6,64,184,10,42.25,0.4521,0.6603,0.4444,42.25
U012,2026-08-19,450,310,40,70,39,4,95,314.0,5.17,7.5,192,6,30,70,119,33,66.89,0.775,0.785,0.9444,68.26
U012,2026-08-20,450,255,50,120,31,5,160,334.0,4.25,7.5,179,17,43,57,133,21,43.63,0.6375,0.835,0.2222,44.32
U012,2026-08-21,320,205,30,50,46,3,165,264.0,3.42,5.33,98,0,77,38,89,18,45.97,0.7736,0.9962,0.1667,45.97
