user_id,timestamp,kind,reason,message,minutes_since_break,drop_probability,date
U010,2026-08-03T09:40:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,11.0,0.21453762690264291,2026-08-03
U010,2026-08-03T12:05:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,83.0,0.12196943013026927,2026-08-03
U010,2026-08-03T12:25:00,break_reminder,103 min without a break,Time for a break - you have been at it for 103 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,103.0,0.15490068060098872,2026-08-03
U010,2026-08-03T13:50:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,31.0,0.22755044548961154,2026-08-03
U010,2026-08-03T14:45:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,24.0,0.2108697759711958,2026-08-03
U010,2026-08-04T12:05:00,break_reminder,focus likely to drop (p=0.34) after 59 min,Time for a break - you have been at it for 59 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,59.0,0.3415686718316764,2026-08-04
U010,2026-08-04T12:50:00,break_reminder,104 min without a break,Time for a break - you have been at it for 104 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,104.0,0.09522499821975361,2026-08-04
U010,2026-08-04T14:30:00,break_reminder,focus likely to drop (p=0.27) after 81 min,Time for a break - you have been at it for 81 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,81.0,0.2695885590324943,2026-08-04
U010,2026-08-04T14:50:00,break_reminder,101 min without a break,Time for a break - you have been at it for 101 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,101.0,0.2463899883564139,2026-08-04
U010,2026-08-04T15:05:00,focus_nudge,15 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,116.0,0.2967490706998802,2026-08-04
U010,2026-08-04T15:40:00,break_reminder,focus likely to drop (p=0.29) after 151 min,Time for a break - you have been at it for 151 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,151.0,0.2861650888184462,2026-08-04
U010,2026-08-05T14:05:00,break_reminder,focus likely to drop (p=0.40) after 50 min,Time for a break - you have been at it for 50 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,50.0,0.3967841421002835,2026-08-05
U010,2026-08-05T14:20:00,focus_nudge,15 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,65.0,0.17687207840102373,2026-08-05
U010,2026-08-05T14:35:00,focus_nudge,30 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,80.0,0.4123570162646211,2026-08-05
U010,2026-08-05T14:50:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,95.0,0.25787979556549506,2026-08-05
U010,2026-08-05T15:05:00,break_reminder,110 min without a break,Time for a break - you have been at it for 110 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,110.0,0.2530123210635696,2026-08-05
U010,2026-08-05T15:25:00,break_reminder,focus likely to drop (p=0.29) after 130 min,Time for a break - you have been at it for 130 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,130.0,0.29094636861869005,2026-08-05
U010,2026-08-05T16:10:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,175.0,0.33947817241048034,2026-08-05
U010,2026-08-06T09:05:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,15.0,0.09676505858596296,2026-08-06
U010,2026-08-06T10:30:00,break_reminder,100 min without a break,Time for a break - you have been at it for 100 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,100.0,0.17112788680317603,2026-08-06
U010,2026-08-06T14:35:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,39.0,0.23658340285837276,2026-08-06
U010,2026-08-06T15:40:00,break_reminder,104 min without a break,Time for a break - you have been at it for 104 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,104.0,0.506741736015631,2026-08-06
U010,2026-08-06T15:55:00,focus_nudge,15 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,119.0,0.41534159866982984,2026-08-06
U010,2026-08-06T16:30:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,22.0,0.06998213329163751,2026-08-06
U010,2026-08-07T13:15:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,0.0,0.032259067591482046,2026-08-07
U010,2026-08-07T14:40:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,41.0,0.3118604372058527,2026-08-07
U010,2026-08-07T14:55:00,focus_nudge,25 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,56.0,0.41597104657558837,2026-08-07
U010,2026-08-07T15:20:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,81.0,0.20706737199853809,2026-08-07
U010,2026-08-07T15:35:00,break_reminder,focus likely to drop (p=0.26) after 96 min,Time for a break - you have been at it for 96 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,96.0,0.25961780917730426,2026-08-07
U010,2026-08-07T17:40:00,break_reminder,118 min without a break,Time for a break - you have been at it for 118 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,118.0,0.1277134137572244,2026-08-07
U010,2026-08-10T11:55:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,87.0,0.1421903885925447,2026-08-10
U010,2026-08-10T12:10:00,break_reminder,102 min without a break,Time for a break - you have been at it for 102 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,102.0,0.1290682178466513,2026-08-10
U010,2026-08-10T12:35:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,127.0,0.13893959750295476,2026-08-10
U010,2026-08-10T12:50:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,142.0,0.30341908522482985,2026-08-10
U010,2026-08-10T15:25:00,break_reminder,102 min without a break,Time for a break - you have been at it for 102 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,102.0,0.2765037936603328,2026-08-10
U010,2026-08-10T16:55:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,72.0,0.2073555508519722,2026-08-10
U010,2026-08-11T10:25:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,57.0,0.18716967881170213,2026-08-11
U010,2026-08-11T12:30:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,33.0,0.35360863065420944,2026-08-11
U010,2026-08-11T15:35:00,break_reminder,104 min without a break,Time for a break - you have been at it for 104 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,104.0,0.20713935553109644,2026-08-11
U010,2026-08-11T15:50:00,focus_nudge,15 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,119.0,0.36187143356379553,2026-08-11
U010,2026-08-12T11:10:00,focus_nudge,10 min of distraction,Still on track? You have drifted for a few minutes - worth a reset.,67.0,0.19190800388832355,2026-08-12
U010,2026-08-12T11:40:00,break_reminder,focus likely to drop (p=0.48) after 97 min,Time for a break - you have been at it for 97 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,97.0,0.4824660024506751,2026-08-12
U010,2026-08-12T11:55:00,break_reminder,112 min without a break,Time for a break - you have been at it for 112 minutes. Five minutes away from the screen now beats twenty minutes of drift later.,112.0,0.22120645816924617,2026-08-12
